facility_id,facility_name,jurisdiction,facility_type,security_level,operational_status,street_address,city,state,zip_code,county,county_fips,phone_number,website,latitude,longitude,design_capacity,population,gender,data_source
10001228,Escambia County Jail,County / Local,County / Local Jail,Not Specified,Open,316 Court St,Brewton,AL,36426,Escambia,01053,(251) 809-0741,http://www.escambiacountysheriffal.org/jail,31.107397,-87.072959,,,Not Specified,DHS HIFLD Critical Infrastructure
10005698,Choctaw County Jail,County / Local,County / Local Jail,Not Specified,Closed,117 South Mulberry Ave,Butler,AL,36904,Choctaw,01023,(205) 459-2166,http://www.choctawso.com/,32.088558,-88.222809,,,Not Specified,DHS HIFLD Critical Infrastructure
10001224,Wilcox County Prince Arnold Detention Center,County / Local,County / Local Jail,Not Specified,Open,240 Hwy 265 S,Camden,AL,36726,Wilcox,01131,(334) 682-9394,http://www.wilcoxcountysheriff.com/index.php,31.98784,-87.288183,64,,Not Specified,DHS HIFLD Critical Infrastructure
10003707,Carbon Hill City Jail,County / Local,County / Local Jail,Not Specified,Open,170 2nd Avenue Northwest,Carbon Hill,AL,35549,Walker,01127,(205) 924-4411,,33.889849,-87.528517,,,Not Specified,DHS HIFLD Critical Infrastructure
10006396,Pickens County Jail,County / Local,County / Local Jail,Not Specified,Open,188 Cemetery St,Carrollton,AL,35447,Pickens,01107,(205) 367-2000,http://pickenscountyalsheriff.org/,33.260213,-88.095896,,116,Not Specified,DHS HIFLD Critical Infrastructure
10006255,Cherokee County Detention Center,County / Local,County / Local Jail,Not Specified,Open,110 Cedar Bluff Rd,Centre,AL,35960,Cherokee,01019,(256) 927-6435,http://www.cherokeecountyalsheriff.com/page.php?id=5,34.153026,-85.677976,114,83,Not Specified,DHS HIFLD Critical Infrastructure
10003746,Washington County Sheriffs Department / Jail,County / Local,County / Local Jail,Not Specified,Open,45 Court St,Chatom,AL,36518,Washington,01129,(251) 847-2202,http://www.washcoso.com/,31.465682,-88.256591,,80,Not Specified,DHS HIFLD Critical Infrastructure
10003753,Chickasaw Jail,County / Local,County / Local Jail,Not Specified,Open,224 North Craft Hwy.,Chickasaw,AL,36611,Mobile,01097,(251) 452-6455,https://cityofchickasaw.org/contact-us/,30.764853,-88.074339,,,Not Specified,DHS HIFLD Critical Infrastructure
10003723,Chilton County Jail,County / Local,County / Local Jail,Not Specified,Open,301 City Street,Clanton,AL,35045,Chilton,01021,(205) 755-1053,http://www.chiltoncountyso.org/corrections,32.836225,-86.625584,180,,Not Specified,DHS HIFLD Critical Infrastructure
10001225,Barbour County Jail,County / Local,County / Local Jail,Not Specified,Open,24 Robertson Airport Dr,Clayton,AL,36016,Barbour,01005,,http://www.barbourcountysheriff.com/page.php?id=9,31.885175,-85.484948,98,,Not Specified,DHS HIFLD Critical Infrastructure
10003717,Shelby County Correctional Facility,County / Local,County / Local Jail,Not Specified,Open,380 McDow Road,Columbiana,AL,35051,Shelby,01117,(205) 669-3938,http://www.shelbyso.com/index.php,33.185371,-86.626161,500,,Not Specified,DHS HIFLD Critical Infrastructure
10003716,Shelby County Juvenile Detention Center,County / Local,Juvenile Detention / Residential,Juvenile,Open,222 McDow Road,Columbiana,AL,35051,Shelby,01117,(205) 669-3990,https://www.shelbyal.com/index.aspx?NID=275,33.18212,-86.627569,34,,Not Specified,DHS HIFLD Critical Infrastructure
10001200,Cullman County Detention Center,County / Local,County / Local Jail,Not Specified,Open,1900 Beech Ave SE,Cullman,AL,35055,Cullman,01043,(256) 735-2400,http://www.cullmansheriff.org/index.php#,34.150499,-86.829717,326,,Not Specified,DHS HIFLD Critical Infrastructure
10005696,Tallapoosa County Jail,County / Local,County / Local Jail,Not Specified,Open,316 Industrial Park Drive,Dadeville,AL,36853,Tallapoosa,01123,(256) 825-4264,http://www.tallaco.com/sheriff.asp,32.808638,-85.771732,,135,Not Specified,DHS HIFLD Critical Infrastructure
10003747,Daleville Jail,County / Local,County / Local Jail,Not Specified,Open,730 South Daleville Avenue,Daleville,AL,36322,Dale,01045,(334) 598-4442,,31.298036,-85.720969,,,Not Specified,DHS HIFLD Critical Infrastructure
10003697,Decatur City Jail,County / Local,County / Local Jail,Not Specified,Open,402 Lee Street Northeast,Decatur,AL,35601,Morgan,01103,(256) 341-4600,,34.606187,-86.983681,,0,Not Specified,DHS HIFLD Critical Infrastructure
10006257,Morgan County Jail,County / Local,County / Local Jail,Not Specified,Open,119 Lee Street,Decatur,AL,35601,Morgan,01103,(256) 351-4825,http://www.morgancoso.com/new-page.html,34.60563,-86.987252,,,Not Specified,DHS HIFLD Critical Infrastructure
10001956,Dothan City Jail,County / Local,County / Local Jail,Not Specified,Open,210 N St. Andrews St,Dothan,AL,36303,Houston,01069,(334) 615-3000,https://www.dothanpd.org/contact/,31.226013,-85.390631,,,Not Specified,DHS HIFLD Critical Infrastructure
10003750,Houston County Jail,County / Local,County / Local Jail,Not Specified,Open,901 East Main Street,Dothan,AL,36301,Houston,01069,(334) 712-0762,http://www.houstoncounty.org/search/jail,31.224021,-85.380382,,,Not Specified,DHS HIFLD Critical Infrastructure
10006680,Houston County Work Release Facility,County / Local,County / Local Jail,Not Specified,Open,164 North Oates Street,Dothan,AL,36303,Houston,01069,(334) 671-8725,http://www.houstoncounty.org/Community-Corrections/1-community_corrections,31.224648,-85.393345,,,Not Specified,DHS HIFLD Critical Infrastructure
10003706,Winston County Jail / Sheriff,County / Local,County / Local Jail,Not Specified,Open,11 Blake Drive,Double Springs,AL,35553,Winston,01133,(205) 489-2115,http://winstoncountyso.org/tp50/default.asp?ID=335609,34.147251,-87.40193,,,Not Specified,DHS HIFLD Critical Infrastructure
10003738,Eufaula City Jail,County / Local,County / Local Jail,Not Specified,Open,545 East Barbour Street,Eufaula,AL,36027,Barbour,01005,(334) 687-1200,https://eufaulaalabama.com/departments/police-department/,31.891015,-85.137982,21,,Not Specified,DHS HIFLD Critical Infrastructure
10005695,Greene County Jail,County / Local,County / Local Jail,Not Specified,Open,951 Finches Ferry Road,Eutaw,AL,35462,Greene,01063,(205) 372-3242,http://alabamasheriffs.com/sheriffs,32.842384,-87.863911,,,Not Specified,DHS HIFLD Critical Infrastructure
10003745,Conecuh County Detention Center,County / Local,County / Local Jail,Not Specified,Open,104 Liberty Street,Evergreen,AL,36401,Conecuh,01035,(251) 578-1260,http://www.alabamasheriffs.com/county_map/,31.436214,-86.954071,,,Not Specified,DHS HIFLD Critical Infrastructure
10006256,Fayette County Jail,County / Local,County / Local Jail,Not Specified,Open,113 1st Ave NW,Fayette,AL,35555,Fayette,01057,(205) 932-3205,http://www.fayetteso.com/,33.685112,-87.832157,,78,Not Specified,DHS HIFLD Critical Infrastructure
10005693,Lauderdale County Detention Center,County / Local,County / Local Jail,Not Specified,Open,653 South Seminary Street,Florence,AL,35630,Lauderdale,01077,(256) 760-5771,,34.795957,-87.670357,203,260,Not Specified,DHS HIFLD Critical Infrastructure
10005692,Lauderdale County Work Release Center,County / Local,County / Local Jail,Minimum,Open,601 S Seminary Street,Florence,AL,35630,Lauderdale,01077,(256) 760-5814,,34.796249,-87.671219,,0,Not Specified,DHS HIFLD Critical Infrastructure
10003695,Dekalb County Jail,County / Local,County / Local Jail,Not Specified,Open,2801 Jordan Road Southwest,Fort Payne,AL,35968,Dekalb,01049,(256) 845-3801,http://www.dekalbcountysheriff.org/page?id=9,34.418199,-85.772773,235,156,Not Specified,DHS HIFLD Critical Infrastructure
10000131,Etowah County Detention Center,County / Local,County / Local Jail,Maximum,Open,827 Forrest Ave,Gadsden,AL,35901,Etowah,01055,(256) 549-5410,http://www.etowahcountysheriff.com/index.php,34.016644,-86.012389,,900,Not Specified,DHS HIFLD Critical Infrastructure
10003752,Geneva County Jail,County / Local,County / Local Jail,Not Specified,Open,200 North Commerce Street,Geneva,AL,36340,Geneva,01061,(334) 684-5660,http://www.genevacounty.us/sheriff-department.html,31.04032,-85.865423,,,Not Specified,DHS HIFLD Critical Infrastructure
10001213,Hale County Jail,County / Local,County / Local Jail,Not Specified,Open,70 Correction Dr,Greensboro,AL,36744,Hale,01065,(334) 624-3081,http://www.halecoso.com/Corrections.html,32.717918,-87.621359,91,,Not Specified,DHS HIFLD Critical Infrastructure
10003743,Butler County Jail,County / Local,County / Local Jail,Not Specified,Open,800 Walnut St,Greenville,AL,36037,Butler,01013,(334) 382-3321,http://butlercountyal.com/dept_contacts,31.828243,-86.617003,,,Not Specified,DHS HIFLD Critical Infrastructure
10003742,Clarke County Jail,County / Local,County / Local Jail,Not Specified,Open,149 Clarke Street,Grove Hill,AL,36451,Clarke,01025,(251) 275-8156,http://clarkecountyal.com/sheriffs-department/,31.706858,-87.78146,142,,Not Specified,DHS HIFLD Critical Infrastructure
10003700,Marshall County Sheriff's Department and County Jail,County / Local,County / Local Jail,Not Specified,Open,423 Blount Avenue,Guntersville,AL,35976,Marshall,01095,(256) 582-2034,http://www.marshallcosheriff.org/index.php,34.3583,-86.292951,,249,Not Specified,DHS HIFLD Critical Infrastructure
10001198,Marion County Jail,County / Local,County / Local Jail,Not Specified,Open,280 Winchester Dr,Hamilton,AL,35570,Marion,01093,(205) 921-7433,http://www.marionsoal.com/page.php?id=9,34.11516,-87.99534,86,111,Not Specified,DHS HIFLD Critical Infrastructure
10006397,Lowndes County Detention Facility,County / Local,County / Local Jail,Not Specified,Open,653 State Highway 21 S,Hayneville,AL,36040,Lowndes,01085,(334) 548-2222,http://www.lowndescountysheriff.com/index.php,32.17597,-86.591567,119,,Not Specified,DHS HIFLD Critical Infrastructure
10006401,Cleburne County Jail,County / Local,County / Local Jail,Not Specified,Open,140 Lambert Dr,Heflin,AL,36264,Cleburne,01029,(256) 463-7336,http://www.cleburnecountyso.org/,33.658251,-85.56927,,67,Not Specified,DHS HIFLD Critical Infrastructure
10003718,Helena City Jail,County / Local,County / Local Jail,Not Specified,Open,816 State Highway 52 East,Helena,AL,35080,Shelby,01117,(205) 663-6499,,33.289709,-86.842901,,,Not Specified,DHS HIFLD Critical Infrastructure
10006461,Hoover City Jail,County / Local,County / Local Jail,Not Specified,Open,2020 Valleydale Road,Hoover,AL,35244,Shelby,01117,(205) 444-7737,https://www.hooverpd.com/,33.34885,-86.793108,64,,Not Specified,DHS HIFLD Critical Infrastructure
10001950,Madison County Courthouse Facility,County / Local,County / Local Jail,Not Specified,Open,100 Northside Square,Huntsville,AL,35801,Madison,01089,(256) 532-3300,,34.730275,-86.585085,,,Not Specified,DHS HIFLD Critical Infrastructure
10001193,Madison County Detention Facility,County / Local,County / Local Jail,Maximum,Open,815 Wheeler Ave,Huntsville,AL,35801,Madison,01089,(256) 519-4800,https://www.madisoncountysheriffal.org/jail-information,34.737696,-86.597683,921,900,Not Specified,DHS HIFLD Critical Infrastructure
10001194,Madison County Detention Facility - Annex 1,County / Local,County / Local Jail,Not Specified,Open,815 Wheeler Ave,Huntsville,AL,35801,Madison,01089,(256) 519-4800,,34.738242,-86.596295,,,Not Specified,DHS HIFLD Critical Infrastructure
10006685,The Neaves - Davis Center for Children,County / Local,Juvenile Detention / Residential,Juvenile,Open,817 Cook Avenue,Huntsville,AL,35801,Madison,01089,(256) 532-0300,https://www.madisoncountyal.gov/services/juvenile-detention-center,34.742729,-86.597372,48,,Not Specified,DHS HIFLD Critical Infrastructure
10001952,Walker County Jail,County / Local,County / Local Jail,Maximum,Open,2001 2nd Ave,Jasper,AL,35501,Walker,01127,(205) 384-4874,http://walkercountysheriff.com/index.html,33.830726,-87.276398,250,,Not Specified,DHS HIFLD Critical Infrastructure
10003714,Kimberly City Jail,County / Local,County / Local Jail,Not Specified,Open,9256 Stouts Road,Kimberly,AL,35091,Jefferson,01073,(205) 647-5531,https://kimberlyal.org/departments/,33.772949,-86.811698,,,Not Specified,DHS HIFLD Critical Infrastructure
10003720,Chambers County Detention Facility,County / Local,County / Local Jail,Not Specified,Open,105 Alabama Avenue West,Lafayette,AL,36862,Chambers,01017,(334) 861-4336,http://www.chamberscountysheriff.org/jail.html,32.89938,-85.403579,,,Not Specified,DHS HIFLD Critical Infrastructure
10003734,Marengo County Detention Center,County / Local,County / Local Jail,Maximum,Open,101 Dunn Street,Linden,AL,36748,Marengo,01091,(334) 295-4208,http://www.marengosheriff.com/index.php,32.307394,-87.796866,,,Not Specified,DHS HIFLD Critical Infrastructure
10003724,Sumter County Sherrifs Department / Jail,County / Local,County / Local Jail,Not Specified,Open,118 Hospital Drive,Livingston,AL,35470,Sumter,01119,(205) 652-2841,http://sumtercountyal.com/,32.600447,-88.18037,,,Not Specified,DHS HIFLD Critical Infrastructure
10005699,Crenshaw County Jail,County / Local,County / Local Jail,Not Specified,Closed,186 Justice Avenue,Luverne,AL,36049,Crenshaw,01041,(334) 335-3860,,31.72887,-86.288595,,,Not Specified,DHS HIFLD Critical Infrastructure
10003726,Marion City Jail,County / Local,County / Local Jail,Not Specified,Open,401 Pickens Street,Marion,AL,36756,Perry,01105,(334) 683-9072,,32.632121,-87.318097,,,Not Specified,DHS HIFLD Critical Infrastructure
